id,track_name,artist_name,acousticness,danceability,energy,valence,instrumentalness,speechiness,tempo,loudness,mode,key,duration_ms,time_signature
6mpAOrpdrq5mJTGo8nrvSO,Rock Candy,Montrose,0.00405,0.393,0.633,0.752,0.00188,0.0303,78.715,-9.343,1,9,303800.0,4.0
4beabVpsF6srFXrTaXbmf3,Currents,Covet,0.951,0.386,0.553,0.406,0.895,0.0318,199.921,-16.099,0,11,204000.0,4.0
6SBxee2sZTBLCfNZYz0lww,Chevalier Bulltoe,Totorro,0.246,0.559,0.718,0.203,0.75,0.0715,138.013,-7.062,1,2,212016.0,4.0
6TQ4DgGhK4if6DNVpyi8V4,Rumble,Link Wray,0.264,0.551,0.617,0.63,0.000784,0.0339,85.145,-9.842,1,9,145920.0,4.0
6zxuYksXOARe4llokrpi5k,Dragonfly,Shaman's Harvest,0.0019,0.558,0.742,0.265,5.69e-05,0.0369,139.933,-4.531,1,6,179173.0,4.0
2OnKQdktx8Ri0Fhto8lYTk,Go Outside,Ratboys,0.0869,0.578,0.633,0.928,0.00327,0.0355,141.971,-7.552,1,7,169067.0,3.0
4NrGMEm5SvvpJ9Tk1Rq3cP,Dilemma,Green Day,0.000318,0.545,0.892,0.671,0.0,0.0558,120.41,-3.381,1,2,198325.0,4.0
282QGCfat8aMJ55RFV0BMb,Run For Word,toe,0.0634,0.349,0.634,0.143,0.762,0.0541,162.933,-9.788,1,0,200987.0,4.0
6j1ghdNd3GdrlRqdpNcD45,Sex,The 1975,1.31e-05,0.41,0.974,0.173,4.86e-05,0.125,148.298,-4.139,1,2,207002.0,4.0
0QJfFSRDRKq9LEkFpiJkI5,Fujiyama Mama - Remastered,Wanda Jackson,0.578,0.769,0.719,0.96,0.00085,0.077,141.272,-9.389,1,2,133747.0,4.0
24blvT7SjRZaOSJJ01Rs0s,Die In Vain,Horror Movies In The Morning,0.0232,0.636,0.555,0.377,0.0,0.0393,98.092,-11.653,1,11,187959.0,4.0
6w40zjwprgA1s99VUxvuMx,That'll Be The Day - Decca Version,Buddy Holly,0.61,0.527,0.648,0.882,0.0,0.0323,114.775,-7.469,1,2,150000.0,4.0
7D3r8omWvSX7QzfyuUEUJE,Trick Or Treat,LASTRY,0.00184,0.37,0.862,0.522,0.00523,0.0627,95.023,-5.959,1,2,340071.0,4.0
6rJ7PJwuHxOKW4MVutgpZP,Twentieth Century Boy,The Big Six,0.405,0.529,0.819,0.866,0.00385,0.0527,180.198,-9.951,1,9,187373.0,4.0
2im8jqte4utp2s1ZI52OFv,ワイルド アット ハート,ARASHI,0.106,0.632,0.925,0.71,0.0,0.0639,123.891,-3.11,0,10,247295.0,4.0
3paIbszm1HjfHTTFtfPzfx,My Own Universe,Sleep Dealer,0.000183,0.213,0.407,0.122,0.296,0.0324,79.951,-7.81,0,10,267008.0,4.0
4KUENSGZOvtafIqrFc1m3r,Running in Place,Jimkata,0.00218,0.547,0.821,0.466,0.0009,0.0311,143.941,-5.683,1,2,268617.0,4.0
61qxP4Vs5DVX0Ic4GnBklu,Every Time the Sun Comes Up,Sharon Van Etten,0.392,0.663,0.522,0.301,5.41e-06,0.0374,99.759,-8.741,1,1,262520.0,4.0
05meOUktVzZvoCEsAFvVrV,Good Morning,Sawce,0.0134,0.479,0.951,0.323,0.903,0.0793,173.998,-4.442,1,0,255080.0,4.0
6NxTKEfNa5DyhOIin6VWYP,Listen To Your Heart,Through Fire,1.7e-05,0.188,0.878,0.379,0.00115,0.156,170.045,-6.256,0,11,215947.0,4.0
3CftKsBDFrF1yaXDgtu2Sg,Race With the Devil,Gene Vincent,0.238,0.591,0.555,0.903,0.0,0.0637,100.694,-12.918,1,11,123960.0,4.0
1Ame8XTX6QHY0l0ahqUhgv,THE LONELIEST,Måneskin,0.00151,0.519,0.595,0.237,0.0,0.0283,129.786,-5.001,1,2,247067.0,4.0
6kVa8BoTvHcwbi6Ok1pC3i,1o,Yhapojj,0.116,0.618,0.482,0.381,0.0227,0.0625,113.23,-11.108,1,8,85765.0,5.0
2TwkpBaRziwFi22oS1rWO5,Honey Don't,Carl Perkins,0.555,0.716,0.718,0.927,2.61e-05,0.0473,87.493,-7.459,1,4,169421.0,4.0
5UqCQaDshqbIk3pkhy4Pjg,Levels - Radio Edit,Avicii,0.0462,0.584,0.889,0.464,0.828,0.0343,126.04,-5.941,0,1,199907.0,4.0
2GHLPezLTERgiqCpFeR7PZ,ほんをよむ,百景,0.0218,0.533,0.816,0.429,0.0158,0.034,118.012,-4.358,1,9,227293.0,4.0
47gmoUrZV3w20JAnQOZMcO,Blue Suede Shoes,Elvis Presley,0.654,0.557,0.66,0.962,1.66e-06,0.056,95.252,-7.706,1,2,119200.0,4.0
0fA5ZwzfOlH8RT3jjDwE8S,Do Me No Wrong,Pat Cupp,0.759,0.559,0.901,0.911,0.0,0.0626,93.107,-4.95,1,5,144000.0,4.0
0CuXzMEgFzuQhLEYQHYas4,This Too Shall Last,Anderson East,0.323,0.503,0.49,0.68,0.799,0.0279,148.884,-8.553,1,4,222400.0,4.0
1YkuruPUVS0WmfWH80eXUA,Remurdered,Mogwai,0.000245,0.57,0.567,0.203,0.709,0.0305,113.999,-12.262,1,10,385947.0,4.0
4nBQ2ZR8gDolVPfo3DhYM7,Ooh! My Head,Ritchie Valens,0.752,0.692,0.868,0.589,2.14e-05,0.086,80.433,-7.825,1,4,110733.0,4.0
1nWNCD3abCK9qHmT8FtC4o,D,大象體操 Elephant Gym,0.003,0.336,0.849,0.389,0.7,0.0404,135.799,-7.969,1,2,249407.0,3.0
1JOahj0KDKXLRRATAK2S4e,Silence Is Golden,The Tremeloes,0.0557,0.436,0.565,0.582,0.0,0.0294,112.169,-7.268,1,4,190933.0,4.0
3KG03fcha5gJBLyze9919W,30 Days In The Hole,Humble Pie,0.158,0.605,0.482,0.831,2.04e-05,0.102,119.819,-16.673,1,9,237267.0,4.0
4mXULRmZhkekmGUxvtv2ck,君に逢いたかった,Naoto Inti Raymi,0.167,0.594,0.885,0.57,0.0,0.0449,107.981,-1.402,1,2,281453.0,4.0
575DUgIvWa7EAQuszH2dpb,Fall,Chon,0.000781,0.312,0.817,0.371,0.845,0.0454,90.795,-6.702,0,11,219184.0,4.0
3180WDzph4WrS4sLSNcGfa,Wings,Little Mix,0.000758,0.742,0.878,0.564,8.88e-05,0.128,114.965,-3.127,0,9,221720.0,4.0
1LjWAfOqcl1AUuklEIcFUL,Craving Connection,John Condit,8.14e-05,0.432,0.912,0.52,0.396,0.0504,136.111,-5.085,1,0,169427.0,4.0
57xzwvRZnHMmLu0k2yQ2GJ,Feels Like Home,Drew Holcomb,0.105,0.606,0.532,0.112,0.00032,0.0319,72.991,-7.69,1,2,243973.0,4.0
3cahwwZWdGVs6CerOvgsoc,タイム・トラベル,SPITZ,0.13,0.498,0.779,0.612,0.0,0.028,95.008,-5.127,0,2,266400.0,4.0
1kPpge9JDLpcj15qgrPbYX,Good Time,Owl City,0.0239,0.56,0.872,0.682,6.98e-06,0.14,126.05,-4.269,1,3,205933.0,4.0
